SessionID,StudentLevel,Discipline,SessionDate,SessionLengthMin,TotalPrompts,TaskType,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating
SESSION00001,Undergraduate,Computer Science,3/11/2024,31.2,11,Studying,2,Assignment Completed,TRUE,1
SESSION00002,Undergraduate,Psychology,25/8/2024,13.09,6,Studying,3,Assignment Completed,TRUE,2
SESSION00003,Undergraduate,Business,12/1/2025,19.22,5,Coding,3,Assignment Completed,TRUE,3.3
SESSION00004,Undergraduate,Computer Science,6/5/2025,3.7,1,Coding,3,Assignment Completed,TRUE,3.5
SESSION00005,Undergraduate,Psychology,18/3/2025,28.12,9,Writing,3,Assignment Completed,TRUE,2.9
SESSION00006,Graduate,Business,17/1/2025,7.54,1,Coding,5,Idea Drafted,TRUE,5
SESSION00007,High School,Biology,7/9/2024,14.6,3,Writing,3,Assignment Completed,FALSE,1.9
SESSION00008,Undergraduate,Biology,26/12/2024,9.2,3,Writing,5,Assignment Completed,TRUE,3.9
SESSION00009,Undergraduate,Business,18/6/2025,8.15,1,Brainstorming,3,Assignment Completed,TRUE,3.3
SESSION00010,Undergraduate,Math,14/4/2025,5.57,1,Studying,3,Assignment Completed,FALSE,1.4
SESSION00011,High School,Math,24/2/2025,24.52,6,Writing,2,Assignment Completed,FALSE,1.9
SESSION00012,Undergraduate,Psychology,7/11/2024,11.51,5,Coding,3,Assignment Completed,FALSE,3.9
SESSION00013,Undergraduate,History,5/7/2024,15.47,6,Studying,5,Idea Drafted,TRUE,4.9
SESSION00014,Undergraduate,Business,3/11/2024,24.13,5,Writing,4,Idea Drafted,TRUE,3.7
SESSION00015,High School,Computer Science,21/5/2025,22.51,8,Writing,3,Assignment Completed,TRUE,4.9
SESSION00016,High School,Psychology,22/11/2024,22.16,6,Coding,2,Idea Drafted,TRUE,2.8
SESSION00017,Undergraduate,Business,27/4/2025,6.46,2,Writing,5,Confused,TRUE,5
SESSION00018,High School,Biology,13/4/2025,18.36,4,Studying,2,Confused,FALSE,1.2
SESSION00019,Undergraduate,Math,8/12/2024,18.26,4,Studying,5,Assignment Completed,FALSE,4.9
SESSION00020,High School,Engineering,3/8/2024,19.36,6,Studying,4,Assignment Completed,TRUE,3.5
SESSION00021,Undergraduate,Engineering,3/5/2025,26.79,11,Brainstorming,3,Idea Drafted,TRUE,4.4
SESSION00022,Undergraduate,Business,9/1/2025,11.11,2,Homework Help,5,Assignment Completed,FALSE,4.9
SESSION00023,Undergraduate,Biology,21/4/2025,19.87,8,Studying,2,Idea Drafted,TRUE,3.1
SESSION00024,Undergraduate,Math,5/5/2025,17.65,4,Coding,3,Gave Up,FALSE,3.6
SESSION00025,Graduate,Psychology,27/11/2024,8.1,3,Homework Help,5,Idea Drafted,TRUE,4.3
SESSION00026,Undergraduate,Biology,14/9/2024,11.86,2,Writing,2,Idea Drafted,TRUE,3.2
SESSION00027,Undergraduate,History,28/8/2024,6.42,2,Homework Help,4,Idea Drafted,TRUE,4
SESSION00028,High School,Math,5/9/2024,27.55,7,Writing,3,Confused,TRUE,3.5
SESSION00029,Undergraduate,Psychology,20/2/2025,27.28,6,Studying,2,Confused,FALSE,3.4
SESSION00030,Undergraduate,Engineering,26/2/2025,5.03,2,Studying,3,Confused,FALSE,2.5
SESSION00031,High School,Biology,28/12/2024,23.79,6,Studying,3,Gave Up,FALSE,2.4
SESSION00032,Undergraduate,Computer Science,20/4/2025,19.04,7,Studying,3,Idea Drafted,FALSE,3.3
SESSION00033,High School,Psychology,6/2/2025,22.89,10,Coding,3,Idea Drafted,TRUE,2.6
SESSION00034,Undergraduate,Business,10/4/2025,10.59,4,Writing,3,Gave Up,FALSE,3.9
SESSION00035,Undergraduate,Math,21/3/2025,25.1,7,Coding,4,Confused,TRUE,4.3
SESSION00036,Undergraduate,Biology,19/7/2024,5.76,1,Writing,1,Confused,TRUE,1.2
SESSION00037,Undergraduate,Engineering,9/4/2025,33.79,8,Writing,2,Assignment Completed,FALSE,1.6
SESSION00038,Undergraduate,Psychology,20/9/2024,13.64,5,Writing,2,Assignment Completed,TRUE,2.6
SESSION00039,High School,Biology,14/5/2025,2.48,1,Studying,2,Idea Drafted,TRUE,2.2
SESSION00040,Graduate,Engineering,6/3/2025,11.77,3,Coding,4,Assignment Completed,TRUE,4.4
SESSION00041,Undergraduate,Computer Science,21/6/2025,33.29,15,Writing,2,Idea Drafted,TRUE,1.7
SESSION00042,Undergraduate,Biology,13/6/2025,20.27,6,Studying,3,Confused,FALSE,3.4
SESSION00043,High School,History,23/4/2025,33.63,7,Homework Help,4,Assignment Completed,TRUE,5
SESSION00044,Undergraduate,Psychology,1/1/2025,4.54,1,Writing,5,Confused,FALSE,4.6
SESSION00045,Undergraduate,Biology,26/1/2025,15.08,3,Writing,4,Assignment Completed,TRUE,4.8
SESSION00046,High School,Math,19/4/2025,27.97,6,Writing,3,Assignment Completed,TRUE,1.4
SESSION00047,High School,Engineering,18/12/2024,46.11,12,Homework Help,4,Assignment Completed,TRUE,3.4
SESSION00048,Undergraduate,Biology,21/11/2024,13.25,4,Research,2,Confused,FALSE,1.4
SESSION00049,Graduate,Engineering,27/10/2024,16.9,6,Studying,3,Assignment Completed,TRUE,3.7
SESSION00050,Graduate,History,28/2/2025,28.49,5,Writing,5,Assignment Completed,TRUE,5
SESSION00051,Undergraduate,Psychology,14/11/2024,13.43,3,Studying,2,Idea Drafted,TRUE,2.3
SESSION00052,Graduate,Business,9/9/2024,22.72,11,Studying,2,Assignment Completed,TRUE,1
SESSION00053,Undergraduate,Computer Science,8/6/2025,7.98,1,Research,4,Idea Drafted,TRUE,4.2
SESSION00054,High School,Biology,10/7/2024,15.52,3,Writing,5,Assignment Completed,TRUE,5
SESSION00055,Undergraduate,Psychology,8/7/2024,6.98,2,Coding,2,Idea Drafted,TRUE,2.8
SESSION00056,Undergraduate,Engineering,16/12/2024,6.25,2,Coding,4,Assignment Completed,TRUE,5
SESSION00057,High School,Engineering,5/9/2024,58.92,19,Homework Help,4,Assignment Completed,TRUE,3.9
